id,year,name
200501,2005,第1号
200502,2005,第2号
200503,2005,第3号
200504,2005,第4号
200505,2005,第5号
200506,2005,第6号
200507,2005,第7号
200508,2005,第8号
200601,2006,第1号
200602,2006,第2号
200603,2006,第3号
200604,2006,第4号
200605,2006,第5号
200606,2006,第6号
200607,2006,第7号
200608,2006,第8号
200701,2007,第1号
200702,2007,第2号
200703,2007,第3号
200704,2007,第4号
200705,2007,第5号
200706,2007,第6号
200707,2007,第7号
200708,2007,第8号
200709,2007,第9号
200710,2007,第10号
200711,2007,第11号
200801,2008,第1号
200802,2008,第2号
200803,2008,第3号
200804,2008,第4号
200805,2008,第5号
200806,2008,第6号
200807,2008,第7号
200808,2008,第8号
200901,2009,第1号
200902,2009,第2号
200903,2009,第3号
200904,2009,第4号
200905,2009,第5号
201111,2011,11月号
201112,2011,12月号
201201,2012,1月号
201202,2012,2月号
201203,2012,3月号
201204,2012,4月号
201205,2012,5月号
201206,2012,6月号
201207,2012,7月号
201208,2012,8月号
201209,2012,9月号
201212,2012,12月号
201301,2013,1月号
201302,2013,2月号
201303,2013,3月号
201304,2013,4月号
201305,2013,5月号
201306,2013,6月号
201307,2013,7月号
201308,2013,8月号
201309,2013,9月号
201310,2013,10月号
201311,2013,11月号
201312,2013,12月号
201401,2014,1月号
201402,2014,2月号
201403,2014,3月号
201404,2014,4月号
201405,2014,5月号
201406,2014,6月号
201407,2014,7月号
201408,2014,8月号
201409,2014,9月号
201410,2014,10月号
201411,2014,11月号
201412,2014,12月号
201501,2015,1月号
201502,2015,2月号
201503,2015,3月号
201504,2015,4月号
201505,2015,5月号
201506,2015,6月号
201507,2015,7月号
201508,2015,8月号
201509,2015,9月号
201510,2015,10月号
201511,2015,11月号
201512,2015,12月号
201601,2016,1月号
201602,2016,2月号
201603,2016,3月号
201604,2016,4月号
201605,2016,5月号
201606,2016,6月号
201607,2016,7月号
201608,2016,8月号
201609,2016,9月号
201610,2016,10月号
201611,2016,11月号
201612,2016,12月号
201701,2017,1月号
201702,2017,2月号
201703,2017,3月号
201704,2017,4月号
201705,2017,5月号
201706,2017,6月号
201707,2017,7月号
201708,2017,8月号
201709,2017,9月号
201710,2017,10月号
201711,2017,11月号
201712,2017,12月号
201801,2018,1月号
201802,2018,2月号
201803,2018,3月号
201804,2018,4月号
201805,2018,5月号
201806,2018,6月号
201807,2018,7月号
201808,2018,8月号
201809,2018,9月号
201810,2018,10月号
201811,2018,11月号
201812,2018,12月号
201901,2019,1月号
201902,2019,2月号
201903,2019,3月号
201904,2019,4月号
201905,2019,5月号
201906,2019,6月号
201907,2019,7月号
201908,2019,8月号
201909,2019,9月号
201910,2019,10月号
201911,2019,11月号
201912,2019,12月号
202001,2020,1月号
