year,season,m_group,m_rank,m_flag,f_group,f_rank,f_flag
2018,春,5,2,0,5,3,0
2017,秋,5,1,0,5,5,0
2017,春,5,2,0,5,5,0
2016,秋,5,2,0,5,4,0
2016,春,5,4,0,4,6,-1
2015,秋,5,4,0,4,6,0
2015,春,5,2,0,4,4,0
2014,秋,5,2,0,4,2,0
2014,春,5,4,0,4,3,0
2013,秋,5,3,0,4,3,0
2013,春,5,2,0,4,1,0
2012,秋,5,2,0,5,1,1
2012,春,5,2,0,5,1,0
2011,秋,5,3,0,5,2,0
2011,春,,,,,,
2010,秋,5,4,0,5,2,0
2010,春,5,4,0,5,4,0
2009,秋,5,4,0,5,3,0
2009,春,5,3,0,6,1,1
2008,秋,5,3,0,6,2,0
2008,春,5,3,0,5,6,-1
2007,秋,5,5,0,5,5,0
2007,春,4,6,-1,5,5,0
2006,秋,4,5,0,5,2,0
2006,春,4,3,0,4,6,-1
